Indicator,Region,Type,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1,City of Johannesburg,City,2597282,,,,,3226055,,,,,,,,,,4434827,,,,,,
1,City of Tshwane,City,1770330,,,,,2142322,,,,,,,,,,2921488,,,,,,
1,City of Cape Town,City,2534877,,,,,2892243,,,,,,,,,,3740026,,,,,,
1,EThekwini Municipality,City,2718180,,,,,3090122,,,,,,,,,,3442361,,,,,,
1,Ekurhuleni Municipality,City,2026978,,,,,2481762,,,,,,,,,,3178470,,,,,,
1,Nelson Mandela Bay Municipality,City,959299,,,,,1005779,,,,,,,,,,1152116,,,,,,
1,Buffalo City Municipality,City,685727,,,,,704855,,,,,,,,,,755200,,,,,,
1,Mangaung Municipality,City,603528,,,,,645440,,,,,,,,,,747431,,,,,,
1,Msunduzi Municipality,City,273830,,,,,552837,,,,,,,,,,552837,,,,,,
2,City of Johannesburg,City,,,,,,,,,,,,,,,,2696,,,,,,
2,City of Tshwane,City,,,,,,,,,,,,,,,,464,,,,,,
2,City of Cape Town,City,,,,,,,,,,,,,,,,1530,,,,,,
2,EThekwini Municipality,City,,,,,,,,,,,,,,,,1502,,,,,,
2,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,1609,,,,,,
2,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,588,,,,,,
2,Buffalo City Municipality,City,,,,,,,,,,,,,,,,298,,,,,,
2,Mangaung Municipality,City,,,,,,,,,,,,,,,,119,,,,,,
2,Msunduzi Municipality,City,,,,,,,,,,,,,,,,976,,,,,,
3,City of Johannesburg,City,732845,,,,,1006910,,,,,,,,,,1434856,,,,,,
3,City of Tshwane,City,459122,,,,,606025,,,,,,,,,,911536,,,,,,
3,City of Cape Town,City,651755,,,,,759485,,,,,,,,,,1068573,,,,,,
3,EThekwini Municipality,City,646345,,,,,786746,,,,,,,,,,956713,,,,,,
3,Ekurhuleni Municipality,City,542719,,,,,745576,,,,,,,,,,1015465,,,,,,
3,Nelson Mandela Bay Municipality,City,225677,,,,,260779,,,,,,,,,,324292,,,,,,
3,Buffalo City Municipality,City,161167,,,,,191958,,,,,,,,,,223568,,,,,,
3,Mangaung Municipality,City,153203,,,,,185013,,,,,,,,,,231921,,,,,,
3,Msunduzi Municipality,City,508592,,,,,535971,,,,,,,,,,596184,,,,,,
4,City of Johannesburg,City,,,,,,0.04,,,,,,,,,,0.032,,,,,,
4,City of Tshwane,City,,,,,,0.036,,,,,,,,,,0.031,,,,,,
4,City of Cape Town,City,,,,,,0.024,,,,,,,,,,0.026,,,,,,
4,EThekwini Municipality,City,,,,,,0.023,,,,,,,,,,0.011,,,,,,
4,Ekurhuleni Municipality,City,,,,,,0.04,,,,,,,,,,0.025,,,,,,
4,Nelson Mandela Bay Municipality,City,,,,,,0.007,,,,,,,,,,0.014,,,,,,
4,Buffalo City Municipality,City,,,,,,0.006,,,,,,,,,,0.007,,,,,,
4,Mangaung Municipality,City,,,,,,0.013,,,,,,,,,,0.015,,,,,,
4,Msunduzi Municipality,City,,,,,,0.011,,,,,,,,,,0.011,,,,,,
5,City of Johannesburg,City,1298409,,,,,1607200,,,,,,,,,,2209690,,,,,,
5,City of Tshwane,City,889575,,,,,1081141,,,,,,,,,,1468005,,,,,,
5,City of Cape Town,City,1309609,,,,,1503499,,,,,,,,,,1909327,,,,,,
5,EThekwini Municipality,City,1394449,,,,,1605084,,,,,,,,,,1759955,,,,,,
5,Ekurhuleni Municipality,City,993127,,,,,1222438,,,,,,,,,,1550747,,,,,,
5,Nelson Mandela Bay Municipality,City,500265,,,,,525947,,,,,,,,,,552994,,,,,,
5,Buffalo City Municipality,City,362004,,,,,374295,,,,,,,,,,396644,,,,,,
5,Mangaung Municipality,City,318465,,,,,338442,,,,,,,,,,385245,,,,,,
5,Msunduzi Municipality,City,276763,,,,,293804,,,,,,,,,,324082,,,,,,
6,City of Johannesburg,City,1298873,,,,,2597282,,,,,,,,,,2225137,,,,,,
6,City of Tshwane,City,880756,,,,,1061181,,,,,,,,,,1453483,,,,,,
6,City of Cape Town,City,1225268,,,,,1388744,,,,,,,,,,1830699,,,,,,
6,EThekwini Municipality,City,1323731,,,,,1485038,,,,,,,,,,1682406,,,,,,
6,Ekurhuleni Municipality,City,1033851,,,,,1259324,,,,,,,,,,1627724,,,,,,
6,Nelson Mandela Bay Municipality,City,459034,,,,,479829,,,,,,,,,,599120,,,,,,
6,Buffalo City Municipality,City,323723,,,,,330559,,,,,,,,,,358557,,,,,,
6,Mangaung Municipality,City,285063,,,,,306999,,,,,,,,,,362186,,,,,,
6,Msunduzi Municipality,City,247503,,,,,259033,,,,,,,,,,294454,,,,,,
7,City of Johannesburg,City,100,,,,,99,,,,,,,,,,101,,,,,,
7,City of Tshwane,City,99,,,,,98,,,,,,,,,,99,,,,,,
7,City of Cape Town,City,94,,,,,92,,,,,,,,,,96,,,,,,
7,EThekwini Municipality,City,95,,,,,93,,,,,,,,,,98,,,,,,
7,Ekurhuleni Municipality,City,104,,,,,103,,,,,,,,,,105,,,,,,
7,Nelson Mandela Bay Municipality,City,92,,,,,91,,,,,,,,,,92,,,,,,
7,Buffalo City Municipality,City,89,,,,,88,,,,,,,,,,90,,,,,,
7,Mangaung Municipality,City,90,,,,,91,,,,,,,,,,94,,,,,,
7,Msunduzi Municipality,City,89,,,,,88,,,,,,,,,,91,,,,,,
8,City of Johannesburg,City,41.1,,,,,36.6,,,,,,,,,,37.6,,,,,,
8,City of Tshwane,City,46.6,,,,,40.9,,,,,,,,,,39,,,,,,
8,City of Cape Town,City,50.5,,,,,46.3,,,,,,,,,,43.6,,,,,,
8,EThekwini Municipality,City,48.3,,,,,46.7,,,,,,,,,,42.8,,,,,,
8,Ekurhuleni Municipality,City,42.9,,,,,38.7,,,,,,,,,,39,,,,,,
8,Nelson Mandela Bay Municipality,City,50.2,,,,,45.9,,,,,,,,,,46,,,,,,
8,Buffalo City Municipality,City,55,,,,,48.3,,,,,,,,,,47.9,,,,,,
8,Mangaung Municipality,City,52.6,,,,,50.4,,,,,,,,,,47.4,,,,,,
8,Msunduzi Municipality,City,51.9,,,,,51.5,,,,,,,,,,46.2,,,,,,
9,City of Johannesburg,City,640727,,,,,733593,,,,,,,,,,1028812,,,,,,
9,City of Tshwane,City,481986,,,,,527740,,,,,,,,,,677110,,,,,,
9,City of Cape Town,City,722969,,,,,770749,,,,,,,,,,928329,,,,,,
9,EThekwini Municipality,City,773020,,,,,854525,,,,,,,,,,866280,,,,,,
9,Ekurhuleni Municipality,City,529178,,,,,609793,,,,,,,,,,772463,,,,,,
9,Nelson Mandela Bay Municipality,City,273060,,,,,263240,,,,,,,,,,294270,,,,,,
9,Buffalo City Municipality,City,206325,,,,,192802,,,,,,,,,,199315,,,,,,
9,Mangaung Municipality,City,176385,,,,,183621,,,,,,,,,,200821,,,,,,
9,Msunduzi Municipality,City,153234,,,,,161380,,,,,,,,,,164614,,,,,,
10,City of Johannesburg,City,494136,,,,,633782,,,,,,,,,,816528,,,,,,
10,City of Tshwane,City,349220,,,,,432895,,,,,,,,,,569421,,,,,,
10,City of Cape Town,City,486890,,,,,577785,,,,,,,,,,686859,,,,,,
10,EThekwini Municipality,City,570456,,,,,654817,,,,,,,,,,731265,,,,,,
10,Ekurhuleni Municipality,City,375976,,,,,477480,,,,,,,,,,585432,,,,,,
10,Nelson Mandela Bay Municipality,City,191450,,,,,203340,,,,,,,,,,216262,,,,,,
10,Buffalo City Municipality,City,146615,,,,,153768,,,,,,,,,,124155,,,,,,
10,Mangaung Municipality,City,125768,,,,,133368,,,,,,,,,,155602,,,,,,
10,Msunduzi Municipality,City,116617,,,,,117985,,,,,,,,,,133714,,,,,,
11,City of Johannesburg,City,"1,346,021",,,,,"1,727,289",,,,,,,,,,"2,405,078",,,,,,
11,City of Tshwane,City,"858,345",,,,,"1,087,191",,,,,,,,,,"1,532,054",,,,,,
11,City of Cape Town,City,"1,196,969",,,,,"1,399,568",,,,,,,,,,"1,917,351",,,,,,
11,EThekwini Municipality,City,"1,262,796",,,,,"1,451,851",,,,,,,,,,"1,679,423",,,,,,
11,Ekurhuleni Municipality,City,"1,021,507",,,,,"1,306,952",,,,,,,,,,"1,694,011",,,,,,
11,Nelson Mandela Bay Municipality,City,"447,072",,,,,"486,233",,,,,,,,,,"572,951",,,,,,
11,Buffalo City Municipality,City,350423,,,,,375726,,,,,,,,,,420983,,,,,,
11,Mangaung Municipality,City,"265,206",,,,,"295,841",,,,,,,,,,"351,320",,,,,,
11,Msunduzi Municipality,City,"224,758",,,,,"247,040",,,,,,,,,,"289,223",,,,,,
12,City of Johannesburg,City,"116,398",,,,,"131,390",,,,,,,,,,"183,409",,,,,,
12,City of Tshwane,City,"80,779",,,,,"94,496",,,,,,,,,,"142,904",,,,,,
12,City of Cape Town,City,"128,048",,,,,"144,141",,,,,,,,,,"207,487",,,,,,
12,EThekwini Municipality,City,"111,909",,,,,"128,928",,,,,,,,,,"165,393",,,,,,
12,Ekurhuleni Municipality,City,"74,496",,,,,"87,538",,,,,,,,,,"126,554",,,,,,
12,Nelson Mandela Bay Municipality,City,"47,719",,,,,"52,966",,,,,,,,,,"68,633",,,,,,
12,Buffalo City Municipality,City,"31,876",,,,,"34,491",,,,,,,,,,"41,403",,,,,,
12,Mangaung Municipality,City,"29,111",,,,,"32,613",,,,,,,,,,"39,687",,,,,,
12,Msunduzi Municipality,City,"24,031",,,,,"26,458",,,,,,,,,,"30,986",,,,,,
13,Western Cape,Province,,,,,,,,,,,,,,,,"303,823",,,,,,
13,Eastern Cape,Province,,,,,,,,,,,,,,,,"-278,261",,,,,,
13,Northern Cape,Province,,,,,,,,,,,,,,,,"-6,735",,,,,,
13,Free State,Province,,,,,,,,,,,,,,,,"-24,301",,,,,,
13,KwaZulu-Natal,Province,,,,,,,,,,,,,,,,"-30,684",,,,,,
13,North West,Province,,,,,,,,,,,,,,,,"107,169",,,,,,
13,Gauteng,Province,,,,,,,,,,,,,,,,"1,037,871",,,,,,
13,Mpumalanga,Province,,,,,,,,,,,,,,,,"52,845",,,,,,
13,Limpopo,Province,,,,,,,,,,,,,,,,"-152,857",,,,,,
14,City of Johannesburg,City,,,,,,,,,,,,,,,,153.78,,,,,,
14,City of Tshwane,City,,,,,,,,,,,,,,,,102.38,,,,,,
14,City of Cape Town,City,,,,,,,,,,,,,,,,88.24,,,,,,
14,EThekwini Municipality,City,,,,,,,,,,,,,,,,60.1,,,,,,
14,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,100.71,,,,,,
14,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,50.05,,,,,,
14,Buffalo City Municipality,City,,,,,,,,,,,,,,,,53.99,,,,,,
14,Mangaung Municipality,City,,,,,,,,,,,,,,,,65.51,,,,,,
14,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
15,City of Johannesburg,City,,,,,,,,,,,,,,,,,"130,000","117,725",,,,
15,City of Tshwane,City,,,,,,,,,,,,,,,,,"89,666","110,000",,,,
15,City of Cape Town,City,,,,,,,,,,,,,,,,,"251,381","288,703",,,,
15,EThekwini Municipality,City,,,,,,,,,,,,,,,,,"687,000","589,605",,,,
15,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,"34,397","34,327",,,,
15,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,"86,172","83,660",,,,
15,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,"54,240","60,610",,,,
15,Mangaung Municipality,City,,,,,,,,,,,,,,,,,32625,"14,365",,,,
15,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,"28,026","24,292",,,,
16,City of Johannesburg,City,"671,913",,,,"903,465","928,462","1,032,686","1,146,437","1,106,518","1,068,248","1,037,813","1,039,064","1,130,959","1,242,379","1,073,645","931,523","1,019,800","1,087,963",,,,
16,City of Tshwane,City,"463,615",,,,"597,453","611,223","674,371","742,798","716,939","691,700","670,142","668,096","722,542","788,278","678,364","584,391","634,853","683,097",,,,
16,City of Cape Town,City,"603,322",,,,"795,734","810,424","889,151","964,087","905,021","855,282","826,305","829,294","895,146","962,067","825,713","720,546","766,916","808,491",,,,
16,EThekwini Municipality,City,"987,534",,,,"1,235,053","1,249,714","1,333,021","1,410,404","1,338,309","1,280,296","1,235,800","1,222,494","1,276,192","1,344,408","1,163,723","1,015,938","1,058,501","1,087,981",,,,
16,Ekurhuleni Municipality,City,"564,453",,,,"780,739","807,380","886,474","968,874","931,608","894,494","860,877","848,909","906,340","977,922","839,816","725,097","775,033","802,026",,,,
16,Nelson Mandela Bay Municipality,City,"398,224",,,,"459,519","458,397","480,903","502,380","475,717","448,997","423,532","409,017","423,514","442,542","380,889","331,790","341,440","349,580",,,,
16,Buffalo City Municipality,City,"326,375",,,,"373,537","372,381","388,035","402,419","380,168","357,889","335,161","318,995","323,678","333,625","284,415","243,123","247,314","248,630",,,,
16,Mangaung Municipality,City,"246,096",,,,"287,709","290,236","306,423","320,503","298,487","275,302","256,634","248,015","262,199","283,050","240,501","201,387","207,193","211,303",,,,
16,Msunduzi Municipality,City,"241,334",,,,"267,417","266,677","277,166","287,602","272,212","259,823","250,669","248,361","259,774","273,511","239,304","209,184","211,789","210,437",,,,
17,City of Johannesburg,City,0.61,0.62,0.64,0.65,0.65,0.66,0.66,0.67,0.67,0.68,0.67,0.66,0.66,0.65,0.65,0.65,0.66,0.65,,,,
17,City of Tshwane,City,0.57,0.59,0.61,0.62,0.62,0.63,0.64,0.65,0.65,0.65,0.65,0.64,0.63,0.63,0.62,0.62,0.63,0.63,,,,
17,City of Cape Town,City,0.55,0.58,0.59,0.6,0.6,0.61,0.61,0.62,0.62,0.62,0.62,0.61,0.6,0.6,0.6,0.6,0.61,0.61,,,,
17,EThekwini Municipality,City,0.58,0.6,0.61,0.63,0.63,0.64,0.65,0.65,0.65,0.65,0.64,0.64,0.63,0.62,0.62,0.62,0.63,0.63,,,,
17,Ekurhuleni Municipality,City,0.58,0.6,0.62,0.63,0.64,0.65,0.65,0.66,0.66,0.66,0.66,0.65,0.64,0.64,0.64,0.63,0.64,0.65,,,,
17,Nelson Mandela Bay Municipality,City,0.57,0.59,0.61,0.62,0.63,0.64,0.64,0.65,0.65,0.64,0.64,0.63,0.62,0.62,0.62,0.62,0.63,0.63,,,,
17,Buffalo City Municipality,City,0.58,0.6,0.62,0.64,0.65,0.66,0.67,0.67,0.67,0.67,0.67,0.66,0.65,0.64,0.64,0.63,0.64,0.64,,,,
17,Mangaung Municipality,City,0.58,0.6,0.62,0.63,0.64,0.65,0.66,0.66,0.66,0.66,0.65,0.64,0.63,0.62,0.62,0.62,0.62,0.62,,,,
17,Msunduzi Municipality,City,0.58,0.6,0.62,0.63,0.64,0.64,0.65,0.66,0.66,0.66,0.65,0.64,0.63,0.63,0.62,0.62,0.63,0.64,,,,
18,Western Cape,Province,,,,,,56.6,56.6,56.6,56.6,56.6,60.6,60.6,60.6,60.6,60.6,64.2,64.2,64.2,64.2,64.2,64.2,
18,Eastern Cape,Province,,,,,,47.4,47.4,47.4,47.4,47.4,49.8,49.8,49.8,49.8,49.8,53.7,53.7,53.7,53.7,53.7,53.7,
18,Northern Cape,Province,,,,,,49.7,49.7,49.7,49.7,49.7,52.2,52.2,52.2,52.2,52.2,54.9,54.9,54.9,54.9,54.9,54.9,
18,Free State,Province,,,,,,41.9,41.9,41.9,41.9,41.9,45.9,45.9,45.9,45.9,45.9,49.6,49.6,49.6,49.6,49.6,49.6,
18,KwaZulu-Natal,Province,,,,,,45.7,45.7,45.7,45.7,45.7,50,50,50,50,50,53.4,53.4,53.4,53.4,53.4,53.4,
18,North West,Province,,,,,,46,46,46,46,46,49.9,49.9,49.9,49.9,49.9,55.9,55.9,55.9,55.9,55.9,55.9,
18,Gauteng,Province,,,,,,53.7,53.7,53.7,53.7,53.7,57.7,57.7,57.7,57.7,57.7,61.7,61.7,61.7,61.7,61.7,61.7,
18,Mpumalanga,Province,,,,,,48.5,48.5,48.5,48.5,48.5,51.8,51.8,51.8,51.8,51.8,55.9,55.9,55.9,55.9,55.9,55.9,
18,Limpopo,Province,,,,,,51.2,51.2,51.2,51.2,51.2,55.4,55.4,55.4,55.4,55.4,59,59,59,59,59,59,
19,Western Cape,Province,,,,,,63.7,63.7,63.7,63.7,63.7,66.1,66.1,66.1,66.1,66.1,70.1,70.1,70.1,70.1,70.1,70.1,
19,Eastern Cape,Province,,,,,,51.6,51.6,51.6,51.6,51.6,55.5,55.5,55.5,55.5,55.5,59.3,59.3,59.3,59.3,59.3,59.3,
19,Northern Cape,Province,,,,,,55.9,55.9,55.9,55.9,55.9,57.9,57.9,57.9,57.9,57.9,60.1,60.1,60.1,60.1,60.1,60.1,
19,Free State,Province,,,,,,46,46,46,46,46,49.8,49.8,49.8,49.8,49.8,52.7,52.7,52.7,52.7,52.7,52.7,
19,KwaZulu-Natal,Province,,,,,,51,51,51,51,51,55.2,55.2,55.2,55.2,55.2,58.7,58.7,58.7,58.7,58.7,58.7,
19,North West,Province,,,,,,49.5,49.5,49.5,49.5,49.5,54.3,54.3,54.3,54.3,54.3,58.9,58.9,58.9,58.9,58.9,58.9,
19,Gauteng,Province,,,,,,58.1,58.1,58.1,58.1,58.1,60.8,60.8,60.8,60.8,60.8,63.3,63.3,63.3,63.3,63.3,63.3,
19,Mpumalanga,Province,,,,,,53,53,53,53,53,56.6,56.6,56.6,56.6,56.6,60.1,60.1,60.1,60.1,60.1,60.1,
19,Limpopo,Province,,,,,,59,59,59,59,59,60.8,60.8,60.8,60.8,60.8,63.8,63.8,63.8,63.8,63.8,63.8,
20,City of Johannesburg,City,"85,440,152","98,175,468","108,231,970","121,585,889","136,031,757","147,337,838","171,380,917","187,702,641","206,833,849","230,246,026","254,882,751","291,790,638","328,319,856","352,996,924","391,276,225","428,959,023","467,748,736","515,724,688",,,,
20,City of Tshwane,City,"47,387,561","54,115,705","59,466,236","65,891,499","76,782,609","83,495,238","94,189,424","103,841,587","115,011,185","131,185,453","145,870,659","167,162,017","186,965,721","204,973,586","229,317,372","254,187,462","274,648,744","300,575,344",,,,
20,City of Cape Town,City,"59,507,879","67,114,809","71,443,982","80,111,609","89,606,035","99,083,257","111,107,720","123,824,945","140,363,481","152,692,174","169,686,701","192,267,243","213,305,978","227,324,867","256,443,655","277,516,107","295,055,690","319,239,490",,,,
20,EThekwini Municipality,City,"59,111,584","65,052,919","69,696,493","75,393,303","86,277,994","97,122,698","110,176,672","121,888,658","134,598,265","147,159,615","163,737,825","185,053,127","207,309,155","223,359,561","247,440,410","267,980,964","290,789,995","316,070,030",,,,
20,Ekurhuleni Municipality,City,"39,017,381","41,583,662","42,607,304","44,148,445","52,865,349","57,283,175","66,517,408","73,288,246","80,970,118","89,364,878","97,554,137","111,181,942","126,339,206","136,152,584","149,783,076","162,026,058","173,331,044","187,474,334",,,,
20,Nelson Mandela Bay Municipality,City,"18,638,854","20,384,046","21,841,793","23,730,913","28,253,244","31,866,587","35,577,512","39,624,724","43,292,557","46,717,078","50,724,908","56,196,727","63,769,103","68,293,550","75,314,013","78,334,422","83,560,810","89,096,842",,,,
20,Buffalo City Municipality,City,"10,037,588","11,448,249","12,670,356","14,296,905","15,402,944","16,221,536","17,804,397","20,008,994","22,186,486","24,573,339","27,287,266","31,208,162","35,676,831","38,945,898","43,299,556","45,990,764","49,944,545","53,648,515",,,,
20,Mangaung Municipality,City,"9,872,552","11,140,266","11,938,951","13,450,544","14,740,807","16,100,514","18,522,123","20,225,430","22,296,243","24,049,647","26,927,857","30,181,309","32,633,655","35,489,078","39,248,202","40,845,531","43,523,373","46,577,745",,,,
20,Msunduzi Municipality,City,"6,962,799","7,641,738","8,271,156","8,911,244","9,443,458","10,389,207","11,849,731","12,996,995","14,474,474","15,696,885","17,275,789","19,383,681","21,239,566","23,239,305","25,850,541","27,855,057","29,766,322","31,866,000",,,,
